"dzim","vcgr","Svars","c3_izglit","c4_Vec_izglit","c5_1_Pers_kopa","c5_2_Pers_virs15","c6_majs_veids","c7_Ekon_akt","C8_Nodarb_statuss","c9_prof_kods_1st_dig","c10_talrunis","c11_rekinu_apmaksa","c12_dzivo_pilseta","c13_prior_tranps","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","d2_11","d2_12","d3_1","d3_2","d3_3","d3_4","d4","pilseta"
"1","2",11.78,"3",20.00,3.00,2.00,"4","1","1","5","1","3","2","1, 6","9","2","2","1","2","2","2","2","2","2","2","2","1","2","4","4","3","1","2","2","1","3","3","2","1","4","2","2","5, 8, 10","REZ"
"2","2",11.81,"2",60.00,2.00,2.00,"2","1","1","5","1, 2","3","2","4, 6","3","2","2","2","2","3","3","2","2","1","2","4","1","4","4","9","9","2","2","2","9","9","9","9","2","3","2","2","4, 8, 10","VAL"
"2","2",31.44,"4",20.00,3.00,3.00,"4","4",,,"1","2","2","1, 5","9","2","2","2","4","3","9","3","9","1","2","3","4","3","4","4","9","4","3","3","9","4","2","4",,"3","2","4","99","JUR"
"2","2",19.93,"1",30.00,4.00,3.00,"3","2",,,"1","3","3","1, 6","2","3","9","2","4","2","3","1","2","4","2","4","4","4","9","9","9","3","2","1","4","2","2","2","9","4","3","4","2, 5, 8","REZ"
"2","2",11.81,"1",20.00,4.00,2.00,"3","1","1","4","1","3","3","1, 6","2","2","2","2","2","2","1","1","2","2","2","1","1","3","2","2","4","9","2","2","9","2","2","9","2","2","2","2","8, 9, 10","VAL"
"2","3",28.03,"1",20.00,4.00,4.00,"4","1","1","9","1","2","2","1, 6","1","3","1","1","2","2","1","1","1","2","2","1","1","9","3","9","4","2","2","1","9","2","2","2","2","3","2","1","5, 6, 9","VAL"
"1","1",104.75,"4",20.00,4.00,4.00,"4","4",,,"1, 2","3","3","3, 4","9","9","9","9","2","2","2","1","9","3","2","1","1","9","9","9","9","9","2","2","9","9","2","9",,"2","1","2","2, 3","JUR"
"1","2",17.14,"1",20.00,2.00,2.00,"2","1","1","1","1, 2","3","2","1, 5","9","4","3","2","4","3","3","1","2","2","2","4","3","4","1","9","1","4","3","2","4","2","2","4","1","2","1","3","10, 5, 8","JEK"
"2","2",8.35,"3",20.00,2.00,2.00,"2","3",,,"1","1","2","4, 6","2","4","9","2","2","2","2","2","2","3","2","2","2","4","3","2","4","3","2","2","9","2","2","2",,"3","3","2","5, 8, 9","VAL"
"1","2",770.69,"1",20.00,3.00,2.00,"3","1","1","3","1","3","1","1, 4","2","3","2","2","3","2","2","1","2","2","2","2","2","4","4","9","2","2","2","2","9","2","2","3","2","2","2","2","5, 8, 10","DAU"
"2","2",58.48,"4",20.00,4.00,3.00,"3","4",,,"1","2","1","4, 6","1","2","1","1","2","1","1","2","2","3","3","1","2","3","9","9","4","2","2","2","1","9","9","2",,"3","2","3","2, 7, 9","VEN"
"2","2",11.21,"3",20.00,4.00,3.00,"4","1","2","5","1, 2","2","1","1, 4","2","3","2","2","2","2","2","2","2","2","2","1","1","3","9","9","4","9","2","2","9","9","2","2","2","3","2","1","5, 6","VAL"
"1","2",13.61,"2",20.00,2.00,2.00,"2","4",,,"2","3","1","4, 6","3","3","9","1","2","2","3","2","2","3","2","2","1","4","3","4","3","2","1","1","4","4","4","3",,"2","2","2","5, 6, 8","REZ"
"2","3",192.19,"3",20.00,1.00,1.00,"1","3",,"9","1","3","2","4, 6","2","3","9","2","2","2","2","1","9","2","2","2","1","4","9","9","2","2","2","1","2","2","2","2",,"3","2","1","5, 8, 10","JEL"
"1","2",39.54,"1",20.00,5.00,4.00,"3","1","1","1","1","3","1","1, 5","1","2","1","1","1","1","1","2","1","3","2","1","1","3","4","4","3","2","2","1","1","2","2","1","1","2","1","1","2, 5, 8","VEN"
"2","1",82.50,"1",20.00,4.00,2.00,"3","1","1","3","1, 2","2","1","1, 4","4","3","3","2","3","3","3","2","2","1","2","2","2","4","1","2","4","4","2","1","4","3","2","3","2","3","2","1","4, 8, 9","JUR"
"1","2",22.42,"1",20.00,2.00,2.00,"2","1","2","2","3","3","2","1, 5","9","2","9","1","3","2","3","2","9","2","3","2","1","9","9","9","2","9","2","1","9","2","2","2","1","3","3","2","3, 8, 10","JEL"
"1","1",27.64,"2",20.00,3.00,2.00,"4","4",,,"1","2","3","4, 6","2","3","2","1","2","3","2","1","1","2","2","2","2","4","9","9","9","2","2","2","1","2","2","2",,"2","2","2","5, 6, 8","REZ"
"1","2",83.91,"3",30.00,2.00,2.00,"2","1","1","3","1","3","2","1, 6","4","2","2","3","4","4","2","2","2","3","4","2","3","3","9","9","4","2","4","4","9","9","2","3","1","3","9","3","1, 5, 10","JEL"
"2","2",22.93,"1",40.00,5.00,4.00,"3","1","1","2","1","2","2","1, 6","3","4","1","2","2","2","1","4","1","4","2","1","3","4","4","3","4","4","3","3","4","2","2","4","1","2","1","1","1, 2, 8","VEN"
"1","1",29.32,"5",20.00,5.00,3.00,"3","1","1","3","1","3","1","1, 4","2","2","2","2","3","3","2","2","2","2","2","2","2","3","3","9","3","2","2","2","3","3","3","9","2","2","2","2","1, 8, 10","REZ"
"2","2",19.61,"1",20.00,2.00,2.00,"4","1","1","1","1","3","1","1, 6","9","2","2","2","3","2","2","2","2","2","2","2","1","9","9","9","9","9","9","9","9","9","9","9","2","2","2","2","2, 10","JEL"
"2","2",60.45,"1",40.00,5.00,4.00,"4","1","1","2","1","2","2","3, 4","2","1","2","3","3","2","2","2","2","2","2","2","3","3","3","3","4","4","4","2","2","2","4","4","1","3","2","3","9","JUR"
"2","2",10.92,"1",30.00,5.00,3.00,"3","1","1","2","1","3","1","1, 6","2","3","2","3","3","2","3","2","3","2","2","2","2","3","9","9","2","2","2","2","9","3","3","9","2","2","2","2","5, 7, 10","JEK"
"2","3",258.04,"2",20.00,3.00,3.00,"4","1","1","1","1","3","1","1, 4","2","4","9","9","2","2","1","1","9","1","2","2","2","4","9","9","2","3","9","9","2","9","9","3","1","2","9","1","1, 5, 8","DAU"
"2","2",109.79,"1",40.00,3.00,2.00,"3","1","1","2","1","3","3","1, 6","2","2","2","2","3","2","2","1","1","3","2","2","1","3","9","9","4","2","2","2","9","3","3","2","2","3","2","2","8, 9, 10","JEL"
"1","1",41.14,"6",20.00,5.00,5.00,"4","4",,,"1","2","1","5, 6","4","2","4","2","4","1","2","1","3","4","1","3","4","3","1","3","9","3","4","1","4","3","3","4",,"4","3","1","1, 4, 7","LIE"
"2","2",44.94,"1",20.00,5.00,5.00,"4","1","1","1","1","3","1","3, 6","9","2","3","2","4","2","2","1","2","2","2","2","1","4","9","9","9","2","2","3","9","9","2","2","3","2","2","2","8, 10","JEL"
"2","2",16.98,"1",50.00,1.00,1.00,"1","3",,,"1","3","2","4, 6","3","3","9","2","4","3","2","2","9","2","2","2","2","4","3","9","9","3","3","4","9","2","4","2",,"2","1","2","4, 5, 10","JEL"
"1","3",181.63,"1",20.00,3.00,3.00,"4","3",,,"1, 2","3","1","1, 6","2","2","1","2","3","2","1","2","2","2","2","3","2","4","9","9","9","2","2","2","2","9","3","2",,"2","2","2","8, 10","JEL"
"2","1",484.61,"1",20.00,3.00,3.00,"3","1","1","3","1","2","2","3, 6","2","3","3","2","3","2","9","3","2","2","2","3","2","4","9","9","4","4","2","2","9","3","2","4","2","2","2","2","5, 6, 8","JUR"
"1","2",113.25,"5",20.00,1.00,1.00,"1","1","1","7","1","3","1","1, 7","4","4","2","3","2","2","2","1","2","2","2","1","2","2","9","4","2","9","1","1","9","1","1","1","1","3","2","2","4, 5, 7","JEL"
"1","2",27.46,"2",20.00,1.00,1.00,"1","1","2","7","1","3","3","1, 6","9","9","2","9","2","2","2","2","9","9","9","2","2","4","4","4","9","9","2","2","9","9","9","3","2","2","2","2","8, 10","JEL"
"2","2",18.68,"2",20.00,4.00,4.00,"3","1","1","4","1","2","2","1, 6","3","3","2","3","3","2","2","2","2","2","2","2","1","4","2","2","4","3","3","3","2","2","1","2","1","3","3","2","5, 8, 9","VAL"
"1","2",172.61,"1",30.00,4.00,4.00,"3","1","1","0","1, 2","3","2","1, 6","1","2","2","2","3","3","2","2","1","1","1","2","1","2","2","2","2","1","1","1","3","2","2","1","1","2","1","1","10, 7, 8","JEK"
"2","2",44.46,"1",20.00,3.00,3.00,"4","1","2","1","1","3","3","1, 3","1","2","2","2","2","1","1","2","2","1","1","2","2","3","1","9","9","2","2","2","9","2","2","2","2","3","2","2","5, 8, 10","JUR"
"2","2",14.47,"1",20.00,3.00,3.00,"4","1","2","2","1","9","2","4, 6","3","2","2","2","3","3","4","1","1","2","2","2","2","3","9","9","4","2","2","2","2","2","2","2","2","9","2","2","4, 8, 9","VAL"
"2","2",20.96,"1",20.00,5.00,2.00,"3","4",,,"1","2","2","1, 4","3","2","2","2","2","2","2","2","2","1","1","1","2","3","2","2","4","2","2","1","3","2","1","3",,"2","2","1","4, 9","JUR"
"1","2",263.66,"1",30.00,3.00,3.00,"3","1","1","2","1","3","3","4, 6","2","2","9","2","3","2","2","2","9","2","2","2","2","4","9","9","2","2","2","2","3","2","3","2","2","2","3","3","5, 8","JEK"
"1","1",14.34,"1",20.00,5.00,1.00,"4","1","1","7","1","9","1","1, 4","3","3","2","3","2","2","3","2","2","2","1","2","2","4","1","3","4","3","2","2","3","2","2","4","2","3","2","1","4, 5, 7","JUR"
"2","2",25.63,"1",30.00,4.00,2.00,"3","1","1","1","1","3","2","1, 6","2","2","2","2","2","2","2","2","2","2","2","1","1","9","3","9","3","2","2","2","1","9","2","9","2","9","2","2","2, 8, 9","VEN"
"2","1",31.55,"1",20.00,3.00,3.00,"2","1","1","2","1, 2","2","1","1, 5","2","3","2","2","4","2","3","2","2","2","2","2","2","4","9","9","4","4","3","3","9","2","3","2","4","3","3","2","8, 9, 10","VAL"
"2","2",41.92,"1",20.00,2.00,2.00,"4","1","1","2","1","3","1","1, 6","9","9","9","2","2","2","2","2","9","1","2","2","1","9","1","9","9","9","1","1","9","1","1","3","1","1","2","2","99","JUR"
"2","2",16.27,"1",20.00,3.00,3.00,"3","1","2","2","1, 2","3","1","1, 6","1","1","1","1","1","1","1","1","1","1","1","1","1","9","9","9","9","1","1","1","9","1","1","1","1","1","1","1","99","REZ"
"2","2",198.84,"1",30.00,3.00,3.00,"4","4",,,"1","3","2","4, 6","4","2","9","3","3","3","1","3","2","1","1","2","3","4","1","9","9","9","2","2","9","9","9","3",,"3","2","1","4, 5, 8","JUR"
"2","2",42.78,"1",50.00,5.00,5.00,"3","1","1","3","1","3","2","3, 4","3","2","2","2","4","4","2","2","2","1","2","3","1","9","3","9","9","3","2","1","9","3","2","3","1","3","2","1","3, 4, 10","JUR"
"1","2",147.06,"1",40.00,3.00,2.00,"3","1","1","3","1","3","2","1, 6","2","3","3","2","2","3","3","2","2","2","2","3","2","4","2","2","3","3","3","3","3","2","2","3","2","2","2","2","1, 5, 8","REZ"
"2","3",9.91,"3",30.00,2.00,2.00,"4","4",,,"1","3","1","1, 4","3","4","9","1","2","2","2","1","2","2","2","1","2","4","4","4","4","4","2","3","2","2","2","3",,"3","3","3","5, 6, 8","VAL"
"2","2",10.13,"5",20.00,3.00,1.00,"4","1","1","7","1","3","1","1, 6","9","2","2","2","3","2","1","2","2","2","2","1","1","4","2","3","3","1","2","2","2","2","2","2","2","2","2","2","8, 9, 10","VEN"
"2","2",33.97,"1",30.00,5.00,4.00,"3","1","1","4","1","3","1","1, 6","9","2","2","3","3","2","2","2","2","2","2","3","1","3","9","9","9","2","2","2","2","2","1","2","2","2","2","2","5, 8, 10","JEL"
"1","2",16.82,"4",20.00,5.00,3.00,"4","1","1","5","1","3","3","1, 6","2","3","3","1","3","2","3","1","1","2","4","1","1","2","2","1","4","2","2","2","2","3","3","2","2","2","1","1","3, 5, 10","VAL"
"2","1",19.21,"1",20.00,3.00,3.00,"4","1","1","2","1","2","3","1, 4","3","2","2","2","4","3","3","2","2","2","2","2","2","4","2","3","3","3","3","2","3","3","2","2","3","3","2","2","5, 7, 8","REZ"
"1","2",19.42,"1",30.00,5.00,4.00,"4","1","1","2","1, 2","3","1","1, 5","2","3","2","2","2","3","2","2","2","2","2","2","1","2","3","9","4","2","2","2","2","2","2","2","2","2","2","2","5, 8, 9","VAL"
"2","2",37.73,"1",20.00,5.00,4.00,"3","1","1","3","1","2","1","1, 4","2","2","9","1","2","2","1","2","2","3","3","2","2","4","2","9","3","9","2","1","9","9","2","9","2","2","9","2","1, 2, 8","LIE"
