"dzim","vcgr","Svars","c3_izglit","c4_Vec_izglit","c5_1_Pers_kopa","c5_2_Pers_virs15","c6_majs_veids","c7_Ekon_akt","C8_Nodarb_statuss","c9_prof_kods_1st_dig","c10_talrunis","c11_rekinu_apmaksa","c12_dzivo_pilseta","c13_prior_tranps","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","d2_11","d2_12","d3_1","d3_2","d3_3","d3_4","d4","pilseta"
"2","3",124.26,"1",20.00,1.00,1.00,"1","3",,,"2","3","1","1, 6","9","2","9","9","1","9","9","1","9","1","1","1","1","9","9","9","9","2","1","1","9","3","2","1",,"2","1","1","99","DAU"
"2","2",50.21,"1",20.00,3.00,3.00,"4","1","1","9","1","3","1","4, 6","2","2","2","1","3","2","2","2","2","2","2","2","2","4","2","9","9","2","1","1","1","2","2","2","2","3","2","2","8, 10","DAU"
"1","2",153.90,"4",20.00,1.00,1.00,"1","4",,,"1","1","1","4, 6","1","4","9","2","2","2","2","3","9","2","2","2","1","4","4","4","9","3","2","2","4","4","4","2",,"4","4","2","6, 8, 9","DAU"
"2","2",35.50,"2",20.00,2.00,2.00,"2","3",,,"1","3","1","4, 6","1","1","9","1","2","2","2","2","9","1","1","1","1","4","1","2","2","1","1","1","2","2","1","1",,"3","1","1","8, 9, 10","DAU"
"2","2",215.00,"1",30.00,3.00,3.00,"4","1","1","4","1","3","3","4, 6","2","9","2","2","3","2","2","1","2","2","2","2","2","4","9","9","4","2","2","1","2","3","2","4","1","2","2","2","8","DAU"
"2","2",73.59,"1",30.00,2.00,2.00,"4","1","1","2","1","3","2","4, 6","2","4","2","1","3","1","1","1","1","2","3","1","2","2","2","2","2","2","3","4","3","2","2","4","2","3","2","1","1, 5, 8","DAU"
"2","2",57.98,"3",20.00,4.00,4.00,"4","1","1","1","1","3","1","4, 6","4","4","4","2","4","4","4","2","9","2","2","2","1","4","9","9","9","4","3","3","9","9","2","4","1","1","1","1","1, 4, 5, 6, 8, 10","DAU"
"2","2",41.00,"1",40.00,5.00,5.00,"4","1","1","5","1","3","2","4, 6","2","2","9","2","2","2","2","1","1","2","2","3","2","3","9","9","2","9","2","1","2","4","3","9","1","2","2","2","8","DAU"
"2","3",20.02,"6",20.00,1.00,1.00,"1","3",,,"1","3","1","4, 6","1","1","9","9","3","2","9","2","9","1","2","2","1","4","9","9","2","1","1","1","9","1","1","1",,"3","2","2","6, 8, 10","DAU"
"1","2",112.88,"1",30.00,3.00,3.00,"3","1","1","5","1","3","1","1, 6","3","4","3","2","2","2","2","2","2","2","2","2","2","4","3","9","3","3","2","1","9","1","1","4","2","3","2","2","5, 6, 8","DAU"
"1","3",70.30,"3",20.00,2.00,2.00,"4","3",,,"1, 2","3","1","4, 6","2","3","9","9","2","2","2","2","9","2","2","2","2","4","9","9","9","9","2","2","9","9","2","9",,"3","2","2","5, 8","DAU"
"2","2",14.49,"2",20.00,1.00,1.00,"1","1","1","9","1","3","2","4, 6","2","2","9","1","3","2","2","1","1","1","1","2","2","4","2","9","3","9","2","2","2","4","1","9","2","2","2","1","10, 8, 9","DAU"
"2","2",71.01,"2",20.00,1.00,1.00,"1","2",,,"2","3","1","4, 6","2","4","1","1","2","3","3","2","9","2","2","2","2","4","2","9","2","3","2","2","2","3","2","3",,"4","2","2","5, 6, 8","DAU"
"2","2",23.67,"4",20.00,2.00,2.00,"2","1","1","5","1","3","1","1, 6","1","4","1","1","4","2","1","1","9","2","2","1","2","9","9","9","9","9","3","3","9","4","3","4","1","2","1","2","5, 8, 10","DAU"
"2","2",20.50,"3",30.00,2.00,1.00,"2","4",,,"1","2","2","1, 4","2","3","1","2","2","2","1","1","1","1","1","1","2","4","2","9","4","3","3","1","9","2","1","2",,"4","3","1","5, 6, 8","DAU"
"1","2",482.40,"4",20.00,3.00,2.00,"3","1","2","7","1","3","1","4, 6","1","9","1","1","3","1","1","1","1","1","1","2","1","3","2","9","3","2","2","2","2","9","2","2","1","2","1","1","10, 8","DAU"
"1","3",130.89,"5",20.00,2.00,2.00,"2","3",,,"1","1","2","4, 6","2","2","9","9","2","2","2","1","9","2","2","2","2","9","9","9","9","9","2","2","9","2","2","2",,"3","2","2","8","DAU"
"1","2",319.29,"3",20.00,4.00,2.00,"3","1","1","9","1","2","1","1, 6","9","2","9","9","3","2","2","2","2","2","2","2","1","4","9","9","2","9","2","2","3","9","2","9","2","4","1","1","8, 10","DAU"
"2","2",82.00,"1",30.00,2.00,1.00,"4","2",,,"1","3","1","4, 6","3","2","9","2","4","3","2","1","1","2","2","2","4","4","4","4","2","2","3","3","4","4","4","4",,"4","4","2","4, 5, 8, 10","DAU"
"2","3",248.53,"4",20.00,2.00,2.00,"2","3",,,"1","3","1","4, 6","1","2","9","9","2","2","2","2","9","1","1","2","1","4","2","9","3","1","1","1","9","1","1","1",,"3","2","1","6, 8","DAU"
"2","3",256.48,"4",20.00,2.00,2.00,"2","3",,,"2","3","2","4, 6","1","1","9","2","2","2","2","1","9","2","3","2","1","9","9","9","9","2","2","1","2","3","2","1",,"2","2","2","99","DAU"
"1","3",257.35,"1",30.00,1.00,1.00,"1","3",,,"1","3","2","1, 6","3","2","9","1","1","2","2","2","2","2","2","1","1","2","4","4","2","2","2","1","2","2","2","1",,"2","2","2","8","DAU"
"2","2",239.95,"4",20.00,3.00,2.00,"4","1","1","9","1","2","2","4, 6","3","3","9","9","3","2","2","2","2","2","2","2","2","3","9","9","4","9","2","2","9","4","3","9","3","4","3","3","5, 8, 10","DAU"
"2","2",316.26,"1",20.00,2.00,2.00,"2","3",,,"1","3","2","1, 6","2","2","9","1","1","1","1","2","1","1","1","1","1","3","2","9","1","1","1","1","9","2","1","2",,"2","1","1","10, 5, 8","DAU"
"2","3",16.35,"3",20.00,1.00,1.00,"1","3",,,"1","2","2","4, 6","1","3","2","1","2","1","1","1","1","1","1","1","1","4","9","9","4","9","1","1","9","3","2","9",,"4","3","3","5, 8","DAU"
"2","2",28.99,"3",20.00,4.00,2.00,"4","1","1","9","1","1","2","4, 6","2","2","9","2","3","2","1","1","1","2","2","2","2","3","4","9","3","2","2","2","2","3","2","2","2","3","2","1","1, 5, 8","DAU"
"2","2",23.67,"4",20.00,3.00,2.00,"3","1","1","4","1","3","1","1, 4","1","2","1","2","3","1","1","3","2","2","2","1","1","4","2","9","2","2","2","2","2","2","2","2","2","2","2","1","5, 8, 9","DAU"
"2","3",34.68,"3",20.00,1.00,1.00,"1","3",,,"1","2","2","4, 6","1","3","9","2","3","3","2","3","1","3","3","2","1","4","3","3","2","2","1","1","9","2","2","2",,"4","1","1","5, 6, 8","DAU"
"2","2",111.81,"2",20.00,1.00,1.00,"1","4",,,"1","2","1","4, 6","1","4","1","1","4","1","1","2","9","1","1","1","3","4","1","2","2","1","2","1","9","2","1","1",,"3","3","1","5, 8","DAU"
"2","2",35.50,"1",20.00,5.00,3.00,"3","1","1","5","1","3","1","4, 6","1","1","1","1","1","1","1","1","1","1","1","1","1","4","9","9","2","9","1","1","1","2","1","9","1","1","1","1","7, 8","DAU"
"2","3",23.12,"5",10.00,2.00,2.00,"4","3",,,"1, 2","2","2","4, 6","2","2","9","9","3","2","2","3","9","3","1","3","2","9","9","9","9","4","3","1","9","4","2","3",,"4","3","2","2, 6, 10","DAU"
"2","3",310.27,"9",,2.00,2.00,"2","3",,,"1","3","3","4, 6","9","2","9","9","2","2","2","2","9","2","2","2","2","4","9","9","9","2","2","2","9","9","9","9",,"2","2","2","99","DAU"
"1","2",62.77,"3",20.00,2.00,2.00,"2","1","1","8","1","3","1","1, 6","9","4","9","2","3","3","2","1","9","2","2","2","3","4","9","9","2","2","2","1","9","4","3","9","3","3","3","3","5, 8, 10","DAU"
"1","3",70.30,"5",10.00,2.00,2.00,"2","3",,,"1","2","2","4, 6","1","3","9","9","2","2","2","1","9","3","1","2","2","9","9","9","9","4","2","1","9","2","1","4",,"4","3","1","5, 8","DAU"
"2","2",19.32,"1",30.00,2.00,1.00,"4","1","1","2","1","2","1","1, 6","2","3","2","2","4","3","3","2","2","2","2","2","2","4","2","2","3","3","2","2","3","2","2","9","2","4","2","2","6, 8, 9","DAU"
"2","2",35.50,"1",30.00,3.00,3.00,"3","1","1","4","1","3","2","1, 6","1","3","1","1","3","3","2","2","2","3","2","2","1","4","4","9","2","1","4","1","3","4","2","2","2","3","2","1","1, 2, 5, 8, 10","DAU"
"1","3",44.46,"6",10.00,2.00,2.00,"2","3",,,"1, 2","3","2","1, 6","2","3","9","9","3","3","9","2","9","1","1","1","2","4","4","4","9","2","3","3","9","3","3","2",,"2","2","2","5, 8, 10","DAU"
"1","3",137.04,"1",30.00,2.00,2.00,"2","3",,,"1, 2","2","2","4, 6","1","2","9","9","3","2","1","1","9","2","3","2","3","4","9","9","9","3","4","4","9","2","2","2",,"3","2","2","5, 6, 8","DAU"
"1","1",180.06,"5",20.00,2.00,2.00,"4","4",,,"1","3","1","4, 6","1","9","2","1","4","1","1","1","1","3","2","1","1","4","9","9","9","9","1","1","9","4","1","9",,"2","1","1","8","DAU"
"2","1",65.88,"3",20.00,2.00,2.00,"3","1","1","5","1","1","1","4, 6","2","4","9","4","4","3","2","1","4","2","2","2","4","4","9","9","4","3","2","2","9","3","2","2","4","4","3","2","6, 7, 8","DAU"
"1","1",154.09,"3",20.00,1.00,1.00,"1","1","1","3","1","3","1","1, 6","2","2","2","9","3","2","2","1","2","2","2","2","3","3","3","3","3","3","2","1","4","2","2","4","1","2","1","2","10, 6, 8","DAU"
"2","2",291.72,"2",20.00,3.00,3.00,"3","1","1","3","1","2","1","4, 6","1","3","2","1","4","3","3","1","1","2","2","3","3","4","2","2","2","2","2","1","4","4","3","4","2","4","2","2","5, 8, 10","DAU"
"1","1",641.73,"1",20.00,4.00,2.00,"3","1","1","3","1","3","2","1, 4","2","3","4","3","4","3","3","2","2","2","2","4","3","4","1","3","3","4","4","3","9","3","3","4","1","2","2","2","10, 5, 8","DAU"
"2","3",49.05,"9",30.00,3.00,3.00,"4","3",,,"1","3","2","1, 4","2","3","1","1","3","2","2","2","2","2","2","2","3","4","9","2","1","2","1","1","3","2","1","2",,"2","2","2","5, 8, 10","DAU"
"1","3",439.04,"4",20.00,4.00,4.00,"4","3",,,"1","3","2","4, 6","1","3","2","2","2","2","1","1","2","2","2","2","2","3","9","9","2","2","2","1","2","2","1","2",,"3","2","2","5, 8","DAU"
"2","2",87.24,"3",20.00,1.00,1.00,"1","1","1","9","1","3","2","4, 6","1","2","9","1","2","2","2","1","9","2","2","2","2","4","9","9","9","9","2","2","9","2","1","3","2","2","2","2","99","DAU"
"2","1",204.12,"2",30.00,2.00,2.00,"4","2",,,"1","2","2","4, 6","2","2","9","1","2","2","2","2","2","3","2","2","2","4","4","9","9","2","3","3","2","3","3","3",,"4","3","2","5, 7, 8","DAU"
"2","2",23.67,"2",20.00,3.00,2.00,"3","1","1","7","1","3","2","1, 6","2","4","9","3","3","2","2","1","1","2","1","1","2","4","9","9","3","3","4","2","2","4","2","2","1","4","3","1","1, 5, 8","DAU"
"1","2",99.86,"5",20.00,3.00,3.00,"2","1","1","8","1","2","1","1, 6","1","1","2","2","3","2","2","2","2","3","2","2","1","4","2","2","4","3","2","2","4","4","2","4","1","3","1","1","8, 9, 10","DAU"
"2","3",205.11,"4",20.00,2.00,2.00,"2","3",,,"1, 2","3","2","4, 6","2","3","9","2","2","1","1","1","2","2","2","2","1","4","9","9","2","3","2","2","9","2","1","3",,"3","2","2","5, 6, 8","DAU"
"1","2",70.61,"4",20.00,3.00,3.00,"3","2",,,"1","3","1","1, 6","2","2","2","2","2","2","2","1","2","2","2","2","2","4","9","9","2","9","2","1","9","3","2","2",,"3","2","2","8","DAU"
"2","1",166.66,"5",20.00,5.00,4.00,"3","2",,,"1, 2","2","1","4, 6","2","2","3","9","3","3","3","3","2","2","2","3","4","4","3","3","4","2","2","2","9","3","2","9",,"3","2","2","10, 8","DAU"
"2","2",45.84,"1",20.00,2.00,2.00,"2","1","1","2","1","3","1","4, 6","1","2","1","1","2","2","1","2","1","2","2","1","2","4","2","2","2","2","2","2","2","2","2","3","2","3","2","2","5, 8, 10","DAU"
"2","2",279.58,"2",30.00,3.00,3.00,"4","1","2","2","1, 2","2","1","1, 6","2","4","9","2","4","2","2","2","9","2","2","2","1","9","1","9","9","9","1","1","9","9","1","4","1","1","1","1","5, 10","DAU"
"2","2",212.05,"1",20.00,3.00,2.00,"3","1","1","2","1","3","2","1, 6","1","3","2","1","3","1","1","1","1","2","2","1","1","3","1","1","2","3","1","1","4","2","2","2","2","2","2","3","5, 8, 10","DAU"
"1","2",351.50,"1",20.00,2.00,2.00,"2","1","2","8","1","2","1","1, 4","1","3","9","9","4","2","2","2","2","1","1","2","2","4","9","9","3","3","1","1","2","4","2","3","1","4","1","1","8, 9, 10","DAU"
"2","3",20.02,"1",30.00,1.00,1.00,"1","3",,,"1, 2","3","1","1, 6","2","2","9","9","2","2","2","2","9","1","1","1","1","9","9","9","9","1","1","1","9","2","1","2",,"2","2","2","99","DAU"
"1","3",59.41,"1",30.00,5.00,5.00,"3","3",,,"1","3","2","1, 6","9","4","9","9","4","3","3","2","9","2","3","2","4","4","4","4","9","9","4","4","4","3","3","3",,"3","3","1","2, 9, 10","DAU"
"2","1",98.82,"3",20.00,3.00,3.00,"4","1","1","8","1","3","1","4, 6","2","3","1","2","3","1","1","1","2","1","1","1","2","4","2","9","3","3","2","2","9","2","2","2","1","2","1","1","4, 5, 8","DAU"
"2","2",127.84,"1",20.00,5.00,5.00,"3","1","1","2","1, 2","3","2","1, 6","2","2","2","2","2","1","1","1","3","2","2","2","3","4","9","9","2","3","4","2","4","4","2","4","2","2","1","1","6, 7, 8","DAU"
"1","2",379.55,"1",30.00,1.00,1.00,"1","4",,,"1","3","2","4, 6","2","2","9","2","2","2","2","1","2","3","3","2","3","4","9","9","9","3","2","2","9","4","2","3",,"3","2","2","2, 8","DAU"
"2","2",176.35,"1",40.00,3.00,3.00,"3","1","1","2","1","3","1","1, 4","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","9","2","2","1","1","2","2","1","1","1","2","1","1","10, 8, 9","DAU"
"1","2",1052.68,"4",20.00,3.00,2.00,"3","1","1","8","1","3","1","1, 6","1","3","2","9","4","2","2","3","1","2","2","2","2","3","3","3","2","4","2","1","2","4","2","4","1","2","1","1","5, 6, 10","DAU"
"2","2",184.88,"1",30.00,2.00,2.00,"2","1","1","1","1","3","1","1, 6","2","3","2","1","3","2","1","1","1","2","2","1","1","4","2","2","2","2","2","2","9","9","2","4","1","4","1","1","10, 5, 6, 8","DAU"
"1","2",54.36,"3",20.00,2.00,2.00,"2","1","1","8","1","3","2","1, 6","9","9","9","1","2","1","1","1","1","1","1","1","1","4","9","9","2","1","4","1","2","4","2","2","1","1","1","1","5, 8","DAU"
"1","1",163.52,"1",20.00,2.00,2.00,"2","1","1","2","1","3","1","1, 6","2","3","2","2","2","2","2","2","2","2","2","3","2","4","2","2","4","2","1","1","2","2","2","2","1","2","2","1","5, 6, 8","DAU"
"2","3",297.06,"3",20.00,1.00,1.00,"1","3",,,"1","3","2","4, 6","1","2","9","9","2","2","1","2","9","2","2","2","1","4","2","3","3","1","1","1","9","2","2","1",,"2","2","1","2, 8, 9","DAU"
"2","2",454.71,"1",20.00,4.00,2.00,"3","1","1","2","1","3","2","4, 6","3","1","1","1","1","1","1","1","1","1","1","1","1","3","2","2","4","3","3","1","9","4","2","4","1","2","1","3","10, 4, 8","DAU"
"2","3",63.33,"3",30.00,5.00,5.00,"4","3",,,"1, 2","1","1","4, 6","1","4","3","3","3","3","2","3","2","2","2","2","1","4","4","2","9","4","4","3","3","9","2","2",,"4","4","1","1, 5, 8","DAU"
"1","1",130.82,"5",20.00,4.00,4.00,"4","4",,,"1","3","1","4, 6","1","2","1","1","2","2","2","1","1","2","2","2","1","9","9","9","9","9","2","1","9","2","2","9",,"9","1","1","99","DAU"
"2","3",40.05,"1",20.00,2.00,2.00,"2","3",,,"1","3","2","1, 6","1","2","9","2","2","2","2","2","9","2","2","2","1","4","4","9","9","2","2","2","2","2","2","9",,"3","2","2","8","DAU"
"1","2",94.15,"3",20.00,4.00,2.00,"3","1","1","8","1","3","2","1, 4","2","3","4","3","3","3","2","2","1","1","1","1","1","4","4","4","9","4","2","1","4","4","1","2","2","2","2","1","5, 8, 10","DAU"
"2","2",260.92,"4",20.00,2.00,2.00,"2","2",,,"1","1","1","4, 6","1","4","1","1","2","1","1","1","2","9","2","1","2","4","4","9","4","1","1","1","3","3","3","2",,"4","2","1","5, 6, 8","DAU"
"1","2",407.70,"4",20.00,3.00,3.00,"4","3",,,"1","3","2","4, 6","2","4","9","9","2","2","2","2","9","2","2","2","1","4","4","9","9","3","3","3","2","2","9","4",,"4","4","2","5, 6, 8","DAU"
"2","2",14.49,"2",20.00,1.00,1.00,"1","4",,,"1","3","2","4, 6","1","2","9","9","2","1","1","1","1","2","2","2","1","4","9","9","4","1","4","2","2","4","2","2",,"2","1","1","5, 8","DAU"
"1","2",489.24,"3",20.00,3.00,3.00,"3","1","1","7","1","3","1","4, 6","2","2","9","2","3","2","2","1","2","2","2","2","2","4","9","9","9","2","2","1","2","3","2","3","2","2","2","2","8","DAU"
"2","3",103.42,"2",20.00,2.00,2.00,"2","3",,,"1","3","2","4, 6","2","2","9","2","1","1","1","1","1","3","2","1","1","4","9","9","1","2","1","1","9","2","1","1",,"2","2","1","2, 8, 9","DAU"
"1","2",66.57,"2",20.00,2.00,2.00,"4","1","1","7","1","3","1","1, 6","1","2","1","1","3","3","1","1","1","1","1","1","1","4","1","9","9","1","1","1","4","4","3","1","1","1","1","1","8, 9, 10","DAU"
"2","2",43.48,"4",20.00,4.00,3.00,"3","1","2","5","1","2","1","1, 6","2","4","3","3","3","2","3","2","2","2","2","3","3","2","9","9","3","3","2","2","3","3","3","9","2","3","2","2","6, 10","DAU"
"2","2",32.41,"3",20.00,4.00,4.00,"3","1","1","5","1","3","1","1, 4","2","4","3","2","4","2","4","1","3","3","3","2","1","4","2","9","3","3","3","1","9","3","3","3","1","1","1","1","5, 6, 8","DAU"
"1","1",310.27,"2",20.00,3.00,2.00,"3","1","1","7","1","2","3","1, 6","1","2","4","1","4","2","2","2","2","2","2","2","3","4","2","9","2","2","3","3","2","4","4","4","2","2","2","2","1, 8, 10","DAU"
"1","2",360.58,"3",20.00,4.00,2.00,"3","1","2","7","1","3","1","4, 5","1","1","1","1","2","1","1","1","1","3","2","1","1","2","9","4","1","1","1","1","9","2","2","1","1","1","1","1","99","DAU"
"1","2",94.15,"4",20.00,4.00,3.00,"4","2",,,"1","2","1","4, 6","9","3","2","2","2","2","2","1","2","2","2","2","2","4","9","9","9","9","2","1","2","2","1","3",,"4","3","2","5, 8","DAU"
"2","3",28.32,"6",20.00,1.00,1.00,"1","3",,,"1","2","1","4, 6","1","2","9","1","1","2","1","2","9","3","1","1","1","9","9","9","9","9","2","1","9","3","2","9",,"3","2","3","8","DAU"
"2","2",35.50,"1",20.00,3.00,3.00,"4","1","1","3","1","3","1","1, 6","2","3","1","1","3","1","1","1","1","2","2","2","1","2","9","9","9","9","2","1","9","2","1","9","1","1","1","1","5, 10","DAU"
"1","2",66.57,"3",20.00,2.00,2.00,"2","3",,,"1, 2","2","2","1, 6","2","2","2","1","2","3","2","1","9","2","2","2","1","3","2","9","2","2","2","2","2","2","2","2",,"2","2","2","10, 5, 8","DAU"
"2","2",41.00,"1",20.00,2.00,2.00,"2","2",,,"1","3","1","1, 4","2","2","2","2","3","3","3","2","2","2","2","2","3","4","4","2","2","4","2","2","2","2","2","4",,"3","3","2","8","DAU"
"2","3",74.93,"5",10.00,2.00,2.00,"4","3",,,"2","3","2","4, 6","2","2","9","9","2","2","2","1","9","1","1","1","1","4","9","9","9","4","4","4","9","4","2","3",,"4","3","2","5, 6, 9","DAU"
"2","2",201.90,"4",20.00,2.00,2.00,"4","4",,,"1","1","1","4, 6","3","3","2","9","2","3","3","1","2","3","2","3","3","3","9","1","3","2","4","4","2","4","4","4",,"3","3","2","8, 9, 10","DAU"
"2","2",28.99,"3",20.00,2.00,2.00,"4","1","1","2","1","3","2","4, 6","1","2","9","2","3","3","2","1","9","2","2","2","1","4","9","9","4","9","2","1","2","3","2","2","1","3","2","2","8, 10","DAU"
"2","1",263.52,"1",20.00,4.00,2.00,"3","1","1","2","1","2","1","4, 6","1","1","1","1","3","2","2","1","1","1","1","1","1","9","1","9","3","2","1","1","9","1","1","4","1","3","1","1","6, 8, 10","DAU"
"2","3",27.42,"3",40.00,1.00,1.00,"1","3",,,"1","2","1","4, 6","1","3","9","2","2","1","1","1","9","2","1","1","1","4","9","9","3","1","2","2","9","3","2","1",,"3","2","1","5, 8","DAU"
"2","3",240.33,"4",20.00,1.00,1.00,"1","3",,,"1","3","2","4, 6","1","3","9","9","3","2","2","2","9","3","3","3","1","4","3","3","2","3","1","1","9","3","1","3",,"4","2","1","5, 6, 8","DAU"
"2","2",198.75,"1",20.00,3.00,3.00,"3","1","1","2","1","3","1","1, 4","1","3","2","1","3","2","1","3","1","2","2","2","2","4","2","3","2","3","2","2","2","3","2","3","1","3","2","1","5, 8, 10","DAU"
"2","2",38.65,"2",20.00,2.00,2.00,"4","4",,,"1","2","2","4, 6","2","3","2","2","9","3","2","2","2","2","2","3","2","3","9","2","2","1","1","2","2","1","1","2",,"3","1","1","5, 8, 10","DAU"
"2","2",271.19,"4",20.00,2.00,2.00,"2","1","1","7","1","3","2","4, 6","2","3","1","1","3","2","1","1","1","1","1","2","3","4","2","9","9","2","2","2","9","2","2","2","2","2","3","1","5, 8, 10","DAU"
"2","3",286.05,"5",20.00,2.00,2.00,"2","3",,,"1","2","2","4, 6","2","4","9","9","3","3","2","2","9","4","2","3","3","4","2","2","4","3","1","2","4","3","3","2",,"4","4","2","5, 6, 8","DAU"
"1","2",310.69,"1",20.00,4.00,2.00,"3","1","1","2","1","3","1","1, 6","1","1","4","4","3","2","2","3","3","1","1","2","2","4","3","3","2","3","1","1","9","1","1","3","1","2","1","1","6, 7, 10","DAU"
"2","2",30.56,"4",30.00,2.00,2.00,"2","1","1","9","1","1","1","4, 6","2","3","9","9","1","1","1","2","9","3","3","2","2","4","4","4","2","3","2","1","9","3","2","3","1","4","2","3","6, 8, 10","DAU"
"2","2",30.75,"3",20.00,3.00,3.00,"4","2",,,"1","3","2","4, 6","1","1","9","1","4","2","1","1","9","2","2","2","1","4","9","9","2","9","2","2","2","2","2","9",,"4","2","1","8, 10","DAU"
"1","2",33.28,"3",20.00,1.00,1.00,"1","2",,,"1","1","1","4, 6","2","2","9","2","3","2","2","2","2","2","2","2","4","4","9","9","9","9","2","2","2","9","9","4",,"4","3","2","8, 10","DAU"
"2","2",82.00,"3",20.00,2.00,2.00,"2","1","1","5","1","3","1","4, 7","1","3","1","1","2","1","1","2","1","1","1","1","1","4","1","3","2","2","2","2","1","2","1","2","1","3","1","2","5, 8, 10","DAU"
"2","3",69.37,"3",20.00,2.00,2.00,"2","1","1","5","1","3","2","4, 6","1","2","9","1","1","1","1","1","1","2","1","1","1","4","9","9","1","9","1","1","9","2","1","3","1","1","2","1","8","DAU"
"1","2",27.18,"1",30.00,1.00,1.00,"1","1","1","2","1","3","2","1, 6","9","2","9","2","3","2","2","1","1","2","2","2","2","3","2","2","9","2","2","1","2","3","2","2","1","2","2","2","8, 10","DAU"
"1","2",81.54,"5",20.00,3.00,3.00,"4","3",,,"1","3","1","1, 4","1","3","1","1","2","1","1","1","1","2","1","1","1","3","9","9","2","2","1","1","2","3","3","2",,"3","2","2","5, 6, 8","DAU"
"1","1",206.84,"4",20.00,5.00,4.00,"3","4",,,"1","3","1","4, 6","2","2","1","9","4","1","1","1","2","1","1","2","2","4","2","2","1","4","3","1","9","3","4","4",,"4","2","1","6, 8, 10","DAU"
"2","2",170.28,"3",20.00,4.00,3.00,"3","1","1","5","1","1","2","1, 6","2","2","3","2","3","2","2","2","2","2","2","2","1","4","9","9","2","9","2","2","4","2","2","2","2","4","2","2","5, 8, 9, 10","DAU"
"2","3",28.32,"2",20.00,1.00,1.00,"1","3",,,"1","3","1","4, 6","1","2","9","1","1","1","1","1","9","1","1","1","1","3","1","1","1","1","1","1","9","2","1","1",,"1","1","1","8","DAU"
"2","3",74.93,"4",20.00,1.00,1.00,"1","3",,,"1","3","1","4, 6","1","1","1","1","3","1","1","2","9","1","1","2","1","4","1","2","3","1","1","1","3","2","1","1",,"3","2","1","5, 8, 10","DAU"
"2","2",65.54,"2",20.00,1.00,1.00,"1","4",,,"1","9","1","4, 6","2","3","2","2","2","2","2","1","2","2","2","2","3","4","9","9","9","9","2","2","9","2","2","9",,"2","3","9","5, 8","DAU"
"2","2",355.33,"4",20.00,5.00,4.00,"3","4",,,"1","3","1","1, 4","1","2","1","1","1","2","1","2","1","1","1","2","1","4","1","3","3","2","2","2","2","2","1","2",,"4","2","1","5, 6, 8","DAU"
"2","3",28.32,"1",20.00,2.00,2.00,"2","3",,,"1","2","1","1, 4","1","4","9","9","3","1","2","1","1","1","2","2","1","4","1","3","2","3","1","1","2","3","2","3",,"4","1","1","5, 8, 9","DAU"
"2","2",35.50,"4",20.00,5.00,3.00,"4","2",,,"1","3","3","4, 6","1","2","2","2","3","2","3","1","1","3","2","3","2","4","2","9","2","3","2","2","9","2","2","2",,"3","2","2","2, 8","DAU"
"2","2",123.00,"1",20.00,2.00,2.00,"2","3",,,"1, 2","3","1","1, 6","2","4","3","1","4","1","1","1","1","4","4","2","1","4","9","9","1","3","1","1","4","1","1","4",,"1","1","1","10, 8, 9","DAU"
"2","2",10.25,"1",20.00,1.00,1.00,"1","1","1","4","1","2","1","4, 6","2","4","2","4","4","3","2","2","2","2","2","3","3","4","9","9","3","9","2","2","3","3","9","4","2","3","2","2","1, 5, 8","DAU"
"2","2",222.27,"3",20.00,3.00,3.00,"3","1","1",,"1","3","2","4, 6","2","2","9","2","3","2","2","1","1","2","2","2","2","4","9","9","9","9","2","1","9","4","2","9","2","4","2","2","6, 8, 10","DAU"
"1","2",94.15,"1",20.00,2.00,2.00,"2","2",,,"1","2","2","1, 6","2","3","3","2","2","2","2","2","2","2","2","2","2","3","2","9","2","3","3","2","9","3","1","4",,"3","2","2","5, 6, 8","DAU"
"2","2",149.63,"3",20.00,5.00,3.00,"4","2",,,"1","3","2","4, 6","2","2","3","2","3","2","3","3","2","3","2","2","2","4","9","9","3","4","4","4","9","2","3","9",,"2","2","2","8","DAU"
"1","2",44.03,"1",20.00,2.00,2.00,"2","1","1","7","1","3","1","1, 6","2","3","3","2","3","2","2","2","9","1","1","1","2","4","1","1","3","3","2","1","9","2","2","3","2","2","2","2","5, 6, 8","DAU"
"2","2",28.99,"1",20.00,3.00,2.00,"3","4",,,"1","3","1","1, 4","1","1","2","2","2","1","1","1","1","2","2","1","1","4","3","2","2","2","2","1","2","2","1","2",,"2","2","2","10, 8","DAU"
"2","1",83.33,"5",20.00,3.00,2.00,"3","4",,,"1","3","3","1, 4","2","3","9","9","3","3","2","2","2","2","2","2","9","9","9","9","9","9","9","9","9","9","9","9",,"9","9","9","99","DAU"
"2","3",369.29,"3",20.00,1.00,1.00,"1","3",,,"2","1","2","1, 7","9","4","9","9","9","2","2","2","9","3","3","2","2","3","9","9","9","2","3","3","9","3","3","3",,"3","3","2","1, 5, 8","DAU"
"1","2",500.44,"1",20.00,4.00,2.00,"3","1","1","2","1","2","2","1, 4","2","3","2","2","3","2","2","3","1","1","1","2","2","4","1","9","2","1","1","1","4","4","4","9","2","3","1","1","5, 8","DAU"
